stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,0.5,17.0,60.60336239996832,,60.58815759996651,60.60336239996832,61.10351299995091,61.10351299995091,61.10351299995091,61.40357339999173,61.53794339997694,left,-17.0,0,0,0.42092760000377893,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
50,0.5,17.5,61.55413919995772,,61.538111299974844,61.55413919995772,62.036774199979845,62.036774199979845,62.05329019995406,,62.25334060000023,right,17.5,1,1,0.2016185999964364,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
51,0.5,17.5,62.27130559994839,,62.253538999997545,62.27130559994839,62.75300079997396,62.75300079997396,62.786911999981385,63.0527591999853,63.037068799952976,right,17.5,1,1,0.2717314000474289,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
52,0.5,17.5,63.0527591999853,,63.03722860000562,63.0527591999853,63.53703479998512,63.53703479998512,63.553587100002915,63.836880799965,63.98864809999941,right,17.5,0,0,0.44822319998638704,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
53,0.5,18.0,64.00337109999964,,63.988921499985736,64.00337109999964,64.5034694999922,64.5034694999922,64.5034694999922,,64.62060439999914,left,-18.0,0,0,0.10747970000375062,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
54,0.5,18.5,64.63624949997757,,64.62082369998097,64.63624949997757,65.12088219996076,65.12088219996076,65.13628039998002,,65.17052449996118,left,-18.5,0,0,0.047441900009289384,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
55,0.5,19.0,65.18719699996291,,65.1707749000052,65.18719699996291,65.67054829996778,65.67054829996778,65.68665829999372,,65.7206409999635,right,19.0,1,1,0.039073499967344105,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
56,0.5,19.0,65.73745379998581,,65.72080700000515,65.73745379998581,66.2201439999626,66.2201439999626,66.2367236999562,66.5205901999725,66.85389829997439,right,19.0,1,1,0.6309222999843769,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
57,0.5,19.0,66.87040079996223,,66.85406129999319,66.87040079996223,67.37014620000264,67.37014620000264,67.37014620000264,67.66967859998113,67.78683820000151,right,19.0,0,0,0.40012949996162206,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
58,0.5,19.5,67.80361269996502,,67.78698529995745,67.80361269996502,68.28705349995289,68.28705349995289,68.30353239999386,68.58663959999103,68.83701590000419,right,19.5,0,0,0.538046800007578,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
